,Unnamed: 0,count,event,applnNo
0,0,2377,Serious Cases,NDA019048
1,1,180,Death,NDA019048
2,2,85,Disabling,NDA019048
3,3,925,Hospitalization,NDA019048
4,4,61,Life Threatening Event,NDA019048
5,5,36,Serious Cases,ANDA083246
6,6,10,Death,ANDA083246
7,7,1,Disabling,ANDA083246
8,8,14,Hospitalization,ANDA083246
9,9,3,Life Threatening Event,ANDA083246
10,10,3846,Serious Cases,NDA203469
11,11,1267,Death,NDA203469
12,12,49,Disabling,NDA203469
13,13,1491,Hospitalization,NDA203469
14,14,105,Life Threatening Event,NDA203469
15,15,128,Serious Cases,M019
16,16,5,Death,M019
17,17,16,Disabling,M019
18,18,22,Hospitalization,M019
19,19,3,Life Threatening Event,M019
20,20,72106,Serious Cases,NDA020272
21,21,8479,Death,NDA020272
22,22,2646,Disabling,NDA020272
23,23,32357,Hospitalization,NDA020272
24,24,4973,Life Threatening Event,NDA020272
25,25,3738,Serious Cases,ANDA217713
26,26,805,Death,ANDA217713
27,27,37,Disabling,ANDA217713
28,28,1712,Hospitalization,ANDA217713
29,29,213,Life Threatening Event,ANDA217713
30,30,129,Serious Cases,NDA202276
31,31,5,Death,NDA202276
32,32,19,Disabling,NDA202276
33,33,26,Hospitalization,NDA202276
34,34,7,Life Threatening Event,NDA202276
35,35,154149,Serious Cases,NDA022544
36,36,24491,Death,NDA022544
37,37,6435,Disabling,NDA022544
38,38,70820,Hospitalization,NDA022544
39,39,7016,Life Threatening Event,NDA022544
40,40,2414,Serious Cases,ANDA210658
41,41,820,Death,ANDA210658
42,42,49,Disabling,ANDA210658
43,43,801,Hospitalization,ANDA210658
44,44,97,Life Threatening Event,ANDA210658
45,45,3885,Serious Cases,BLA020604
46,46,439,Death,BLA020604
47,47,115,Disabling,BLA020604
48,48,1360,Hospitalization,BLA020604
49,49,222,Life Threatening Event,BLA020604
50,50,56708,Serious Cases,ANDA203609
51,51,9045,Death,ANDA203609
52,52,1108,Disabling,ANDA203609
53,53,24215,Hospitalization,ANDA203609
54,54,4489,Life Threatening Event,ANDA203609
55,55,1012,Serious Cases,ANDA211034
56,56,238,Death,ANDA211034
57,57,43,Disabling,ANDA211034
58,58,460,Hospitalization,ANDA211034
