,age,sex,weight,reaction,count,applnNo
0,4,2,n,ASTHENIA,1,ANDA090721
1,4,2,n,CROHN^S DISEASE,1,ANDA090721
2,4,2,n,DISCOMFORT,1,ANDA090721
3,5,2,n,CROHN^S DISEASE,2,ANDA090721
4,5,2,n,ADMINISTRATION RELATED REACTION,1,ANDA090721
5,5,2,n,ALANINE AMINOTRANSFERASE INCREASED,1,ANDA090721
6,5,2,h,DECREASED APPETITE,1,ANDA090721
7,5,2,h,DIARRHOEA,1,ANDA090721
8,5,2,h,ECZEMA,1,ANDA090721
9,5,2,n,ABDOMINAL DISTENSION,1,ANDA075915
10,5,2,n,ABDOMINAL PAIN,1,ANDA075915
11,5,2,n,CHANGE OF BOWEL HABIT,1,ANDA075915
12,6,2,n,ANAEMIA,1,ANDA075915
13,6,2,n,GASTROINTESTINAL HAEMORRHAGE,1,ANDA075915
14,6,2,n,GASTROINTESTINAL TELANGIECTASIA,1,ANDA075915
15,6,2,h,AMNESIA,1,ANDA075915
16,6,2,h,ARTHRALGIA,1,ANDA075915
17,6,2,h,BRAIN CONTUSION,1,ANDA075915
18,4,2,l,OVARIAN FAILURE,1,ANDA075808
19,4,2,n,BLOOD BILIRUBIN ABNORMAL,1,ANDA075808
20,4,2,n,OFF LABEL USE,1,ANDA075808
21,4,2,n,PLATELET COUNT ABNORMAL,1,ANDA075808
22,4,2,h,INJECTION SITE PRURITUS,1,ANDA075808
23,5,2,n,UTERINE PERFORATION,6,ANDA075808
24,5,2,n,INJURY,5,ANDA075808
25,5,2,n,OFF LABEL USE,5,ANDA075808
26,5,2,h,PAIN,4,ANDA075808
27,5,2,h,INJURY,3,ANDA075808
28,5,2,h,DEPRESSION,2,ANDA075808
29,4,1,n,CROHN^S DISEASE,1,NDA022134
30,4,1,n,DRUG SPECIFIC ANTIBODY PRESENT,1,NDA022134
31,4,1,n,OFF LABEL USE,1,NDA022134
32,5,1,n,ANHEDONIA,1,NDA022134
33,5,1,n,ANXIETY,1,NDA022134
34,5,1,n,CHRONIC KIDNEY DISEASE,1,NDA022134
35,5,1,h,CELLULITIS,1,NDA022134
36,5,1,h,CLOSTRIDIUM DIFFICILE COLITIS,1,NDA022134
37,5,1,h,CONTUSION,1,NDA022134
38,6,1,n,ADRENAL INSUFFICIENCY,1,NDA022134
39,6,1,n,BACK PAIN,1,NDA022134
40,6,1,n,BLISTER,1,NDA022134
41,3,2,l,BURNING SENSATION,1,NDA022134
42,3,2,l,CHEST DISCOMFORT,1,NDA022134
43,3,2,l,CHEST PAIN,1,NDA022134
44,5,2,n,ERYTHEMA,1,NDA022134
45,5,2,n,EYE IRRITATION,1,NDA022134
46,5,2,n,HYPERSENSITIVITY,1,NDA022134
47,6,2,n,MIGRAINE,2,NDA022134
48,6,2,n,CHALAZION,1,NDA022134
49,6,2,n,COVID-19 PNEUMONIA,1,NDA022134
50,4,1,n,EXTRAPYRAMIDAL DISORDER,1,NDA204370
51,4,1,n,OFF LABEL USE,1,NDA204370
52,4,1,n,PRODUCT USE ISSUE,1,NDA204370
53,5,1,n,ANHEDONIA,2,NDA204370
54,5,1,n,ANXIETY,2,NDA204370
55,5,1,n,EMOTIONAL DISTRESS,2,NDA204370
56,5,1,h,ACUTE KIDNEY INJURY,3,NDA204370
57,5,1,h,ANHEDONIA,3,NDA204370
58,5,1,h,ANXIETY,3,NDA204370
59,6,1,n,AGITATION,1,NDA204370
60,6,1,n,ANGER,1,NDA204370
61,6,1,n,HEADACHE,1,NDA204370
62,6,1,h,ABDOMINAL DISCOMFORT,1,NDA204370
63,6,1,h,ANXIETY,1,NDA204370
64,6,1,h,DECREASED APPETITE,1,NDA204370
65,1,2,l,FOETAL EXPOSURE DURING PREGNANCY,3,NDA204370
66,1,2,l,TALIPES,3,NDA204370
